Vaccine,Geography,FIPS,Season/Survey Year,Month,Dimension,Estimate(%),New_per_Month
Seasonal Influenza,Pennsylvania,42,2015-16,11,>=6 Months,40.1,10.6
Seasonal Influenza,Pennsylvania,42,2015-16,12,>=6 Months,43.2,3.1
Seasonal Influenza,Pennsylvania,42,2016-17,1,>=6 Months,48.5,5.3
Seasonal Influenza,Pennsylvania,42,2016-17,2,>=6 Months,50.3,1.8
Seasonal Influenza,Pennsylvania,42,2016-17,3,>=6 Months,51.1,0.8
Seasonal Influenza,Pennsylvania,42,2016-17,4,>=6 Months,52.7,1.6
Seasonal Influenza,Pennsylvania,42,2016-17,5,>=6 Months,53.3,0.6
Seasonal Influenza,Pennsylvania,42,2016-17,8,>=6 Months,2,2
Seasonal Influenza,Pennsylvania,42,2016-17,9,>=6 Months,11.9,9.9
Seasonal Influenza,Pennsylvania,42,2016-17,10,>=6 Months,32.4,20.5
Seasonal Influenza,Pennsylvania,42,2016-17,11,>=6 Months,41.8,9.4
Seasonal Influenza,Pennsylvania,42,2016-17,12,>=6 Months,45.6,3.8
Seasonal Influenza,Pennsylvania,42,2017-18,1,>=6 Months,42.1,-3.5
Seasonal Influenza,Pennsylvania,42,2017-18,2,>=6 Months,43.7,1.6
Seasonal Influenza,Pennsylvania,42,2017-18,3,>=6 Months,44.8,1.1
Seasonal Influenza,Pennsylvania,42,2017-18,4,>=6 Months,45.6,0.8
Seasonal Influenza,Pennsylvania,42,2017-18,5,>=6 Months,46,0.4
Seasonal Influenza,Pennsylvania,42,2017-18,7,>=6 Months,0.4,0.4
Seasonal Influenza,Pennsylvania,42,2017-18,8,>=6 Months,2.2,1.8
Seasonal Influenza,Pennsylvania,42,2017-18,9,>=6 Months,11,8.8
Seasonal Influenza,Pennsylvania,42,2017-18,10,>=6 Months,29.1,18.1
Seasonal Influenza,Pennsylvania,42,2017-18,11,>=6 Months,37.4,8.3
Seasonal Influenza,Pennsylvania,42,2017-18,12,>=6 Months,39.5,2.1
