release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2017-10-24,hhs1,201740,201501,143,915,48019,151,241,341,,158,95,80,1.94392,1.9055
2017-10-24,hhs10,201740,201501,143,446,13386,76,131,129,,89,63,34,3.10944,3.33184
2017-10-24,hhs2,201740,201501,143,4203,125197,210,1362,1320,,851,381,289,4.28873,3.35711
2017-10-24,hhs3,201740,201501,143,7757,131608,247,1190,1996,,2520,1062,989,4.87801,5.89402
2017-10-24,hhs4,201740,201501,143,4653,126559,306,1099,1568,,1066,507,413,3.45636,3.67655
2017-10-24,hhs5,201740,201501,143,2891,93515,282,807,787,,667,343,287,3.18768,3.09148
2017-10-24,hhs6,201740,201501,143,4925,86262,223,1142,1535,,1386,530,332,7.71853,5.70935
2017-10-24,hhs7,201740,201501,143,915,19350,81,147,278,,288,92,110,4.49153,4.72868
2017-10-24,hhs8,201740,201501,143,1453,42076,119,349,502,,336,153,113,3.40459,3.45328
2017-10-24,hhs9,201740,201501,143,3325,85863,263,692,1133,,711,388,401,4.04087,3.87245
2017-10-24,nat,201740,201501,143,31483,771835,1958,7160,9589,,8072,3614,3048,4.21374,4.07898
2017-10-24,hhs1,201740,201502,142,1306,51021,159,308,584,,215,110,89,2.61241,2.55973
2017-10-24,hhs10,201740,201502,142,507,13584,73,131,201,,91,45,39,3.64237,3.73233
2017-10-24,hhs2,201740,201502,142,4666,129230,213,1268,1839,,866,387,306,4.61791,3.61062
2017-10-24,hhs3,201740,201502,142,6176,130616,254,1112,1926,,1867,694,577,4.1229,4.72836
2017-10-24,hhs4,201740,201502,142,4168,129781,304,999,1826,,739,347,257,3.00525,3.21156
2017-10-24,hhs5,201740,201502,142,2518,101733,287,701,855,,477,284,201,2.61885,2.47511
2017-10-24,hhs6,201740,201502,142,5937,90170,229,1274,2425,,1440,503,295,8.83368,6.58423
2017-10-24,hhs7,201740,201502,142,826,20583,78,145,355,,183,74,69,3.5907,4.01302
2017-10-24,hhs8,201740,201502,142,1455,40742,122,328,594,,340,113,80,3.34664,3.57125
2017-10-24,hhs9,201740,201502,142,3645,84999,252,778,1361,,728,352,426,4.46735,4.28829
2017-10-24,nat,201740,201502,142,31204,792459,1971,7044,11966,,6946,2909,2339,4.21022,3.93762
2017-10-24,hhs1,201740,201503,141,1923,50890,161,460,953,,247,138,125,3.93773,3.77874
2017-10-24,hhs10,201740,201503,141,491,13341,75,130,200,,81,41,39,3.40026,3.68038
2017-10-24,hhs2,201740,201503,141,5215,133085,207,1442,2319,,812,390,252,5.05069,3.91855
2017-10-24,hhs3,201740,201503,141,5979,131085,257,946,2171,,1596,818,448,4.53899,4.56116
2017-10-24,hhs4,201740,201503,141,4664,127505,305,1279,2122,,710,328,225,3.3436,3.6579
2017-10-24,hhs5,201740,201503,141,2230,101531,282,690,794,,394,207,145,2.25666,2.19637
2017-10-24,hhs6,201740,201503,141,6606,106320,232,1487,2864,,1458,493,304,7.27476,6.21332
2017-10-24,hhs7,201740,201503,141,899,18139,77,180,426,,170,68,55,4.18716,4.95617
2017-10-24,hhs8,201740,201503,141,1376,39256,116,368,531,,288,120,69,3.18808,3.5052
2017-10-24,hhs9,201740,201503,141,3838,79207,254,858,1569,,695,348,368,5.00536,4.84553
2017-10-24,nat,201740,201503,141,33221,800359,1966,7840,13949,,6451,2951,2030,4.25968,4.15076
2017-10-24,hhs1,201740,201504,140,1557,44917,160,322,887,,189,101,58,3.59462,3.46639
2017-10-24,hhs10,201740,201504,140,426,13416,71,95,203,,71,39,18,2.76483,3.17531
2017-10-24,hhs2,201740,201504,140,4421,117343,201,1161,1957,,736,319,248,5.2279,3.76759
2017-10-24,hhs3,201740,201504,140,5613,129341,254,1017,2091,,1467,583,455,4.2482,4.33969
2017-10-24,hhs4,201740,201504,140,4328,122450,306,1080,2141,,642,274,191,3.04968,3.5345
2017-10-24,hhs5,201740,201504,140,2039,102448,270,695,691,,359,175,119,1.91831,1.99028
2017-10-24,hhs6,201740,201504,140,5818,108616,237,1283,2469,,1328,476,262,6.39277,5.35649
2017-10-24,hhs7,201740,201504,140,968,19665,78,163,430,,180,89,106,4.15542,4.92245
2017-10-24,hhs8,201740,201504,140,1285,41298,116,385,501,,218,117,64,3.0139,3.11153
2017-10-24,hhs9,201740,201504,140,4166,89913,262,917,1789,,654,412,394,5.00751,4.63337
2017-10-24,nat,201740,201504,140,30621,789407,1955,7118,13159,,5844,2585,1915,3.97761,3.87899
2017-10-24,hhs1,201740,201505,139,1463,45708,158,284,809,,191,115,64,3.55818,3.20075
2017-10-24,hhs10,201740,201505,139,353,14326,73,92,140,,69,28,24,2.16804,2.46405
2017-10-24,hhs2,201740,201505,139,4355,120473,204,1137,1970,,732,320,196,5.17198,3.61492
2017-10-24,hhs3,201740,201505,139,4912,145713,252,928,1831,,1308,514,331,3.54571,3.37101
2017-10-24,hhs4,201740,201505,139,4192,134584,306,1036,2030,,638,288,200,2.84584,3.11478
2017-10-24,hhs5,201740,201505,139,1910,95913,272,655,703,,282,171,99,1.90558,1.99139
2017-10-24,hhs6,201740,201505,139,5336,105896,239,1183,2229,,1191,471,262,5.85114,5.03891
2017-10-24,hhs7,201740,201505,139,800,20777,81,153,319,,158,71,99,3.24206,3.85041
2017-10-24,hhs8,201740,201505,139,1210,41406,117,367,498,,225,76,44,2.78426,2.92228
2017-10-24,hhs9,201740,201505,139,3620,89301,248,821,1564,,586,314,335,4.44297,4.05371
2017-10-24,nat,201740,201505,139,28151,814097,1950,6656,12093,,5380,2368,1654,3.63443,3.45794
2017-10-24,hhs1,201740,201506,138,1271,45626,159,267,694,,149,98,63,3.26275,2.78569
2017-10-24,hhs10,201740,201506,138,286,13356,70,75,133,,42,25,11,1.80664,2.14136
2017-10-24,hhs2,201740,201506,138,4041,122250,199,1102,1783,,686,276,194,4.86393,3.30552
2017-10-24,hhs3,201740,201506,138,4246,151586,255,852,1582,,1056,447,309,2.65549,2.80105
2017-10-24,hhs4,201740,201506,138,3771,130723,285,970,1698,,647,262,194,2.60627,2.88473
2017-10-24,hhs5,201740,201506,138,2191,109486,279,777,762,,342,194,116,1.87613,2.00117
2017-10-24,hhs6,201740,201506,138,4789,105765,236,1131,1909,,1105,397,247,5.49937,4.52796
2017-10-24,hhs7,201740,201506,138,637,20667,76,141,226,,153,64,53,2.67652,3.08221
2017-10-24,hhs8,201740,201506,138,996,41353,115,348,366,,177,66,39,2.07342,2.40853
2017-10-24,hhs9,201740,201506,138,2990,82341,243,766,1175,,527,243,279,3.9262,3.63124
2017-10-24,nat,201740,201506,138,25218,823153,1917,6429,10328,,4884,2072,1505,3.26527,3.06359
2017-10-24,hhs1,201740,201507,137,973,42015,154,210,492,,117,86,68,2.93637,2.31584
2017-10-24,hhs10,201740,201507,137,191,12465,66,55,76,,43,15,2,1.18081,1.53229
2017-10-24,hhs2,201740,201507,137,2972,112281,191,901,1067,,573,257,174,3.68552,2.64693
2017-10-24,hhs3,201740,201507,137,3032,119228,240,653,1020,,839,305,215,2.5889,2.54303
2017-10-24,hhs4,201740,201507,137,3531,111152,291,887,1594,,602,275,173,2.58839,3.17673
2017-10-24,hhs5,201740,201507,137,2067,103945,284,700,740,,347,179,101,1.82722,1.98855
2017-10-24,hhs6,201740,201507,137,4436,106685,243,1060,1657,,1064,405,250,4.97422,4.15804
2017-10-24,hhs7,201740,201507,137,541,19687,75,123,210,,125,51,32,2.386,2.74801
2017-10-24,hhs8,201740,201507,137,907,41349,117,317,328,,174,59,29,1.98697,2.19352
2017-10-24,hhs9,201740,201507,137,2459,78029,246,631,980,,411,210,227,3.43436,3.15139
2017-10-24,nat,201740,201507,137,21109,746836,1907,5537,8164,,4295,1842,1271,2.93083,2.82646
2017-10-24,hhs1,201740,201508,136,890,53347,161,159,414,,153,100,64,1.94445,1.66832
2017-10-24,hhs10,201740,201508,136,185,12826,63,66,63,,31,14,11,1.07433,1.44238
2017-10-24,hhs2,201740,201508,136,2694,120285,199,801,992,,538,215,148,3.39765,2.23968
2017-10-24,hhs3,201740,201508,136,2518,142811,264,537,748,,725,324,184,1.82815,1.76317
2017-10-24,hhs4,201740,201508,136,3367,122220,283,791,1472,,613,284,207,2.36768,2.75487
2017-10-24,hhs5,201740,201508,136,2005,108800,280,644,701,,364,167,129,1.6269,1.84283
2017-10-24,hhs6,201740,201508,136,3757,101848,239,892,1405,,930,326,204,4.26325,3.68883
2017-10-24,hhs7,201740,201508,136,571,21082,77,134,227,,140,40,30,2.40328,2.70847
2017-10-24,hhs8,201740,201508,136,811,43984,119,266,306,,152,55,32,1.52456,1.84385
2017-10-24,hhs9,201740,201508,136,2380,85457,249,533,952,,415,240,240,3.08144,2.78503
2017-10-24,nat,201740,201508,136,19178,812660,1934,4823,7280,,4061,1765,1249,2.54474,2.3599
2017-10-24,hhs1,201740,201509,135,797,49598,147,201,383,,107,60,46,1.76866,1.60692
2017-10-24,hhs10,201740,201509,135,179,12738,61,57,63,,35,14,10,1.10581,1.40524
2017-10-24,hhs2,201740,201509,135,2361,118678,204,720,889,,421,210,121,2.78587,1.98942
2017-10-24,hhs3,201740,201509,135,2433,133690,257,469,785,,704,308,167,2.07649,1.81988
2017-10-24,hhs4,201740,201509,135,3257,122068,294,778,1373,,618,325,163,2.25227,2.66818
2017-10-24,hhs5,201740,201509,135,2084,101955,266,633,743,,413,174,121,1.76895,2.04404
2017-10-24,hhs6,201740,201509,135,3770,103871,243,864,1472,,932,304,198,4.22797,3.6295
2017-10-24,hhs7,201740,201509,135,577,21201,76,132,219,,122,57,47,2.29133,2.72157
2017-10-24,hhs8,201740,201509,135,796,41453,117,248,310,,165,47,26,1.51156,1.92025
2017-10-24,hhs9,201740,201509,135,2187,84606,247,537,879,,397,197,177,2.96042,2.58492
2017-10-24,nat,201740,201509,135,18441,789858,1912,4639,7116,,3914,1696,1076,2.47227,2.33472
2017-10-24,hhs1,201740,201510,134,767,49715,156,160,372,,115,72,48,1.72719,1.54279
2017-10-24,hhs10,201740,201510,134,195,13507,69,64,83,,26,11,11,1.15354,1.4437
2017-10-24,hhs2,201740,201510,134,2465,127113,206,865,896,,417,169,118,2.45948,1.93922
2017-10-24,hhs3,201740,201510,134,2284,144346,261,502,696,,643,282,161,1.6998,1.58231
2017-10-24,hhs4,201740,201510,134,2546,114112,283,667,945,,525,283,126,1.89159,2.23114
2017-10-24,hhs5,201740,201510,134,2251,108134,263,639,870,,397,215,130,1.84069,2.08168
2017-10-24,hhs6,201740,201510,134,3914,105895,244,914,1522,,948,340,190,4.23676,3.69611
2017-10-24,hhs7,201740,201510,134,491,16657,75,92,195,,102,47,55,2.44562,2.94771
2017-10-24,hhs8,201740,201510,134,672,40463,111,191,275,,134,54,18,1.45321,1.66078
2017-10-24,hhs9,201740,201510,134,2248,85939,239,616,894,,347,181,210,3.00284,2.61581
2017-10-24,nat,201740,201510,134,17833,805881,1907,4710,6748,,3654,1654,1067,2.35665,2.21286
2017-10-24,hhs1,201740,201511,133,695,49795,154,204,249,,116,79,47,1.51214,1.39572
2017-10-24,hhs10,201740,201511,133,170,11589,64,50,76,,27,8,9,1.19703,1.46691
2017-10-24,hhs2,201740,201511,133,2479,119541,202,902,885,,395,169,128,2.80665,2.07377
2017-10-24,hhs3,201740,201511,133,2340,147020,258,492,805,,642,259,142,1.61833,1.59162
2017-10-24,hhs4,201740,201511,133,2202,123965,278,585,863,,400,239,115,1.4491,1.77631
2017-10-24,hhs5,201740,201511,133,2342,106146,268,680,858,,448,229,127,1.89009,2.20639
2017-10-24,hhs6,201740,201511,133,3503,107388,242,892,1217,,892,316,186,3.65129,3.262
2017-10-24,hhs7,201740,201511,133,351,14729,75,65,106,,105,48,27,2.13252,2.38305
2017-10-24,hhs8,201740,201511,133,674,40602,110,186,283,,133,43,29,1.51712,1.66002
2017-10-24,hhs9,201740,201511,133,1939,83342,232,503,742,,324,183,187,2.727,2.32656
2017-10-24,nat,201740,201511,133,16695,804117,1883,4559,6084,,3482,1573,997,2.17008,2.07619
2017-10-24,hhs1,201740,201512,132,728,52403,151,210,337,,95,58,28,1.5203,1.38923
2017-10-24,hhs10,201740,201512,132,129,11228,66,40,42,,25,17,5,0.884297,1.14891
2017-10-24,hhs2,201740,201512,132,2631,123665,205,939,999,,387,192,114,2.62266,2.12752
2017-10-24,hhs3,201740,201512,132,2685,148677,257,556,962,,725,297,145,1.76935,1.80593
2017-10-24,hhs4,201740,201512,132,1897,116867,253,513,718,,397,160,109,1.36986,1.62321
2017-10-24,hhs5,201740,201512,132,2276,100591,259,665,833,,410,230,138,2.01196,2.26263
2017-10-24,hhs6,201740,201512,132,3156,107318,237,859,1113,,756,262,166,3.23939,2.94079
2017-10-24,hhs7,201740,201512,132,318,15485,73,57,114,,89,27,31,1.87386,2.0536
2017-10-24,hhs8,201740,201512,132,604,40815,109,149,250,,133,44,28,1.15826,1.47985
2017-10-24,hhs9,201740,201512,132,1698,83978,238,430,635,,267,199,167,2.47226,2.02196
2017-10-24,nat,201740,201512,132,16122,801027,1848,4418,6003,,3284,1486,931,2.04297,2.01267
2017-10-24,hhs1,201740,201513,131,756,52317,151,198,342,,109,64,43,1.58312,1.44504
2017-10-24,hhs10,201740,201513,131,138,12013,65,43,52,,27,11,5,0.977884,1.14876
2017-10-24,hhs2,201740,201513,131,2392,118208,193,876,848,,409,151,108,2.50236,2.02355
2017-10-24,hhs3,201740,201513,131,2626,145696,242,519,965,,654,318,170,1.71816,1.80238
2017-10-24,hhs4,201740,201513,131,1632,112769,254,470,660,,267,136,99,1.31332,1.44721
2017-10-24,hhs5,201740,201513,131,2183,100035,262,671,844,,401,174,93,1.80398,2.18224
2017-10-24,hhs6,201740,201513,131,2643,95537,233,739,926,,604,218,156,2.95894,2.76647
2017-10-24,hhs7,201740,201513,131,347,17947,73,56,128,,92,38,33,1.79584,1.93347
2017-10-24,hhs8,201740,201513,131,587,37452,109,162,223,,132,50,20,1.23205,1.56734
2017-10-24,hhs9,201740,201513,131,1671,79169,237,440,635,,273,161,162,2.48584,2.11067
2017-10-24,nat,201740,201513,131,14975,771143,1819,4174,5623,,2968,1321,889,1.954,1.94192
2017-10-24,hhs1,201740,201514,130,691,53033,144,178,321,,99,62,31,1.38746,1.30296
2017-10-24,hhs10,201740,201514,130,93,11052,59,34,38,,11,7,3,0.657071,0.841477
2017-10-24,hhs2,201740,201514,130,2145,117030,195,771,688,,399,173,114,2.27622,1.83286
